provider,season,week,games_expected,games_expected_source,games_present,games_parsed,games_quarantined,player_game_rows,join_success_by_canonical_player_id,target_coverage,reception_coverage,receiving_yard_coverage,rush_attempt_coverage,rushing_yard_coverage,play_by_play_coverage,dropback_field_coverage,residual_category_coverage,timestamp_safety,unresolved_mappings,duplicate_plays,null_rate_targets,null_rate_receptions,null_rate_receiving_yards,null_rate_rush_attempts,null_rate_rushing_yards,reconciliation_failure_count
espn,2024,14,13,stored_schedule_snapshot,13,13,0,248,1.0,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.39919354838709675,0.39919354838709675,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.17741935483870963,0.17741935483870963,0.17741935483870963,0.6008064516129032,0.6008064516129032,0
espn,2024,15,16,stored_schedule_snapshot,16,16,0,315,1.0,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.4095238095238095,0.4095238095238095,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.2063492063492064,0.2063492063492064,0.2063492063492064,0.5904761904761905,0.5904761904761905,0
espn,2024,16,16,stored_schedule_snapshot,16,16,0,311,1.0,0.8135048231511254,0.8135048231511254,0.8135048231511254,0.43729903536977494,0.43729903536977494,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18649517684887462,0.18649517684887462,0.18649517684887462,0.562700964630225,0.562700964630225,0
espn,2024,17,16,stored_schedule_snapshot,16,16,0,319,1.0,0.7899686520376176,0.7899686520376176,0.7899686520376176,0.42946708463949845,0.42946708463949845,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.21003134796238243,0.21003134796238243,0.21003134796238243,0.5705329153605015,0.5705329153605015,0
espn,2024,18,16,stored_schedule_snapshot,16,16,0,314,1.0,0.7866242038216561,0.7866242038216561,0.7866242038216561,0.43312101910828027,0.43312101910828027,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.2133757961783439,0.2133757961783439,0.2133757961783439,0.5668789808917197,0.5668789808917197,0
espn,2025,1,16,stored_schedule_snapshot,16,16,0,311,1.0,0.8102893890675241,0.8102893890675241,0.8102893890675241,0.4405144694533762,0.4405144694533762,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18971061093247588,0.18971061093247588,0.18971061093247588,0.5594855305466238,0.5594855305466238,0
espn,2025,2,16,stored_schedule_snapshot,16,16,0,307,1.0,0.8338762214983714,0.8338762214983714,0.8338762214983714,0.41368078175895767,0.41368078175895767,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.16612377850162863,0.16612377850162863,0.16612377850162863,0.5863192182410424,0.5863192182410424,0
espn,2025,3,16,stored_schedule_snapshot,16,16,0,314,1.0,0.7929936305732485,0.7929936305732485,0.7929936305732485,0.39171974522292996,0.39171974522292996,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20700636942675155,0.20700636942675155,0.20700636942675155,0.60828025477707,0.60828025477707,0
espn,2025,4,16,stored_schedule_snapshot,16,16,0,307,1.0,0.8078175895765473,0.8078175895765473,0.8078175895765473,0.44625407166123776,0.44625407166123776,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19218241042345274,0.19218241042345274,0.19218241042345274,0.5537459283387622,0.5537459283387622,0
espn,2025,5,14,stored_schedule_snapshot,14,14,0,281,1.0,0.8149466192170819,0.8149466192170819,0.8149466192170819,0.4199288256227758,0.4199288256227758,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.1850533807829181,0.1850533807829181,0.1850533807829181,0.5800711743772242,0.5800711743772242,0
