bets,bookmaker,bootstrap_draws,bootstrap_method,independent_games,losses,market,policy,roi,roi_ci_95,segment,side,units_profit,week,win_rate,wins
2733,draftkings,1000,deterministic_game_cluster_bootstrap,269,1308,,v3_baseline,-0.014378870975870579,"[-0.0558900432770674, 0.027737205800809798]",by_bookmaker,,-39.297454377054294,,0.5214050493962679,1425
2077,fanatics,1000,deterministic_game_cluster_bootstrap,220,996,,v3_baseline,-0.062302366674154126,"[-0.10203175655921992, -0.023637386689015612]",by_bookmaker,,-129.40201558221813,,0.5204622051035147,1081
2118,fanduel,1000,deterministic_game_cluster_bootstrap,269,1033,,v3_baseline,-0.030735284527211502,"[-0.074234959510011, 0.015319432318545474]",by_bookmaker,,-65.09733262863396,,0.512275731822474,1085
1215,williamhill_us,1000,deterministic_game_cluster_bootstrap,269,593,,v3_baseline,-0.0218480862199547,"[-0.0799747034452116, 0.03353568540573346]",by_bookmaker,,-26.54542475724496,,0.5119341563786008,622
847,,1000,deterministic_game_cluster_bootstrap,16,435,,v3_baseline,-0.07535471720267309,"[-0.18832110464247587, 0.04181347195665498]",by_week,,-63.8254454706641,1,0.48642266824085006,412
995,,1000,deterministic_game_cluster_bootstrap,14,459,,v3_baseline,0.019620855540928902,"[-0.12777957131855952, 0.164850900152407]",by_week,,19.522751263224258,10,0.5386934673366834,536
996,,1000,deterministic_game_cluster_bootstrap,15,457,,v3_baseline,0.01919349166097078,"[-0.08550771757999735, 0.12142179650094928]",by_week,,19.116717694326898,11,0.5411646586345381,539
936,,1000,deterministic_game_cluster_bootstrap,14,488,,v3_baseline,-0.0948450242864888,"[-0.25626371809879167, 0.04605488094602609]",by_week,,-88.77494273215352,12,0.47863247863247865,448
1150,,1000,deterministic_game_cluster_bootstrap,16,550,,v3_baseline,-0.014070277107504728,"[-0.13095559300850562, 0.09411736175849443]",by_week,,-16.180818673630437,13,0.5217391304347826,600
907,,1000,deterministic_game_cluster_bootstrap,14,415,,v3_baseline,0.012497143164311888,"[-0.11762825670554747, 0.13827814834225644]",by_week,,11.334908850030882,14,0.5424476295479603,492
