american_odds,baseline_probability,bookmaker,calibrated_probability_before_pair_normalization,calibration_method,calibration_training_rows,canonical_player_id,decimal_odds,game_id,grade,line,market,model_probability,nested_configuration,nested_threshold,no_vig_market_probability,opponent,outcome,player_name,policy_expected_value,policy_probability,profit_units,push_probability,quote_timestamp,raw_distribution_probability,research_only,residual_adjustment,residual_model_status,residual_probability,season,side,team,v3_probability,week
-110.0,0.7791,bovada,0.5689712874004915,shrink_50,7676,4361579,1.9090909090909092,espn-401772819,WIN,2.5,receptions,0.5689712874004915,residual_half_life_9,0.01,0.48987854251012153,LV,1.0,Javonte Williams,0.03495507111443874,0.542119322964706,0.9090909090909091,0.0,2025-11-18T01:10:38Z,0.6379425748009829,True,0.05224078045458447,READY_WALK_FORWARD,0.542119322964706,2025,UNDER,DAL,0.7791,11
125.0,0.794,bovada,0.5085768736088369,shrink_50,7676,4426354,2.25,espn-401772819,LOSS,4.5,receptions,0.5085768736088369,residual_half_life_9,0.01,0.4165029469548134,LV,9.0,George Pickens,0.01775367690302565,0.45233496751245583,-1.0,0.0,2025-11-18T01:10:38Z,0.5171537472176737,True,0.03583202055764245,READY_WALK_FORWARD,0.45233496751245583,2025,UNDER,DAL,0.794,11
100.0,0.995,betmgm,0.6077968223225583,shrink_50,7676,4432665,2.0,espn-401772819,LOSS,6.5,receptions,0.6077968223225583,residual_half_life_9,0.01,0.4653465346534653,DAL,7.0,Brock Bowers,0.03670382543331585,0.5183519127166579,-1.0,0.0,2025-11-18T01:10:38Z,0.7155936446451164,True,0.05300537806319261,READY_WALK_FORWARD,0.5183519127166579,2025,UNDER,LV,0.995,11
-105.0,0.0638,fanatics,0.6332150856288858,shrink_50,7676,3925357,1.9523809523809523,espn-401772881,LOSS,2.5,receptions,0.6332150856288858,residual_half_life_9,0.01,0.4796954314720812,HOU,1.0,Calvin Ridley,0.018584220365214066,0.5217138689675487,-1.0,0.0,2025-11-16T17:55:37Z,0.7664301712577718,True,0.042018437495467464,READY_WALK_FORWARD,0.5217138689675487,2025,OVER,TEN,0.0638,11
-112.0,0.0863,fanduel,0.5630865484880083,isotonic,10218,4242546,1.8928571428571428,espn-401772881,WIN,5.5,rushing_yards,0.5630865484880083,residual_half_life_9,0.01,0.5,TEN,14.0,Davis Mills,0.0163898588083366,0.536960680125159,0.8928571428571429,0.0,2025-11-16T17:55:37Z,0.7476455117369794,True,0.03696068012515896,READY_WALK_FORWARD,0.536960680125159,2025,OVER,HOU,0.0863,11
-105.0,0.066,draftkings,0.5630865484880083,isotonic,10218,4242546,1.9523809523809523,espn-401772881,WIN,6.5,rushing_yards,0.5630865484880083,residual_half_life_9,0.01,0.48427672955974843,TEN,14.0,Davis Mills,0.010380209250665517,0.5175118144942433,0.9523809523809523,0.0,2025-11-16T17:55:37Z,0.7290958670311227,True,0.033235084934494896,READY_WALK_FORWARD,0.5175118144942433,2025,OVER,HOU,0.066,11
-110.0,0.9995,draftkings,0.5829596412556055,isotonic,10218,4429059,1.9090909090909092,espn-401772881,WIN,60.5,rushing_yards,0.5829596412556055,residual_half_life_9,0.01,0.495787700084246,TEN,44.0,Woody Marks,0.026855609350074472,0.5378767477548009,0.9090909090909091,0.0,2025-11-16T17:55:37Z,0.7661390478901295,True,0.04208904767055488,READY_WALK_FORWARD,0.5378767477548009,2025,UNDER,HOU,0.9995,11
-112.0,0.9997,fanduel,0.5829596412556055,isotonic,10218,4429059,1.8928571428571428,espn-401772881,WIN,61.5,rushing_yards,0.5829596412556055,residual_half_life_9,0.01,0.5,TEN,44.0,Woody Marks,0.01857032043346829,0.5381126221157946,0.8928571428571429,0.0,2025-11-16T17:55:37Z,0.772983741044618,True,0.03811262211579458,READY_WALK_FORWARD,0.5381126221157946,2025,UNDER,HOU,0.9997,11
-114.0,0.9999,betonlineag,0.5829596412556055,isotonic,10218,4429059,1.8771929824561404,espn-401772881,WIN,62.5,rushing_yards,0.5829596412556055,residual_half_life_9,0.01,0.5,TEN,44.0,Woody Marks,0.010141238006842468,0.5381126221157946,0.8771929824561403,0.0,2025-11-16T17:55:37Z,0.7798284341991065,True,0.03811262211579458,READY_WALK_FORWARD,0.5381126221157946,2025,UNDER,HOU,0.9999,11
-110.0,0.5359,bovada,0.5630865484880083,isotonic,10218,4688380,1.9090909090909092,espn-401772881,WIN,5.5,rushing_yards,0.5630865484880083,residual_half_life_9,0.01,0.48987854251012153,HOU,33.0,Cam Ward,0.01842617433374838,0.5334613294129158,0.9090909090909091,0.0,2025-11-16T17:55:37Z,0.7203032809511638,True,0.04358278690279427,READY_WALK_FORWARD,0.5334613294129158,2025,OVER,TEN,0.5359,11
-115.0,0.9676,draftkings,0.564217485211481,shrink_50,7676,4248528,1.8695652173913042,espn-401772883,LOSS,2.5,receptions,0.564217485211481,residual_half_life_9,0.01,0.5052301255230125,NYG,4.0,Christian Watson,0.018009769759383343,0.5445168535922283,-1.0,0.0,2025-11-16T17:55:37Z,0.6284349704229619,True,0.03928672806921585,READY_WALK_FORWARD,0.5445168535922283,2025,UNDER,GB,0.9676,11
-115.0,0.7468,fanatics,0.6094848693368756,shrink_50,7676,4429148,1.8695652173913042,espn-401772883,WIN,4.5,receptions,0.6094848693368756,residual_half_life_9,0.01,0.5,GB,3.0,Theo Johnson,0.015457219181753912,0.5431515358414033,0.8695652173913043,0.0,2025-11-16T17:55:37Z,0.7189697386737512,True,0.0431515358414033,READY_WALK_FORWARD,0.5431515358414033,2025,UNDER,NYG,0.7468,11
-108.0,0.5063,fanduel,0.5410958904109587,isotonic,10218,3912547,1.925925925925926,espn-401772884,WIN,3.5,rushing_yards,0.5410958904109588,residual_half_life_9,0.01,0.4896023956080519,LAR,11.0,Sam Darnold,0.023053200938233376,0.5312007004871596,0.9259259259259259,0.0,2025-11-16T21:00:38Z,0.6395956812967742,True,0.041598304879107706,READY_WALK_FORWARD,0.5312007004871596,2025,OVER,SEA,0.5063,11
120.0,0.1844,betonlineag,0.5701126170645311,shrink_50,7676,4242557,2.2,espn-401772884,WIN,1.5,receptions,0.5701126170645311,residual_half_life_9,0.01,0.42723631508678234,SEA,2.0,Colby Parkinson,0.01516202959057289,0.4614372861775331,1.2,0.0,2025-11-16T21:00:38Z,0.6402252341290622,True,0.034200971090750765,READY_WALK_FORWARD,0.4614372861775331,2025,OVER,LAR,0.1844,11
