feature,importance,importance_stddev,market,test_rows,test_week,train_rows
zero_rate,0.0012568487447199184,0.006546945665332574,passing_tds,59,11,566
usage_mean_3,0.0342843847576995,0.025153274022519687,passing_tds,59,11,566
usage_mean_all,0.008651119802126827,0.015273380755342318,passing_tds,59,11,566
team_market_mean_5,0.006023271785481321,0.0043567207563965805,passing_tds,59,11,566
opponent_allowed_mean_5,0.00234941309101151,0.0033606282659384363,passing_tds,59,11,566
team_plays_mean_5,0.0047453679667241126,0.005920550786079813,passing_tds,59,11,566
qb_strength_mean_5,0.002399811024821519,0.01423958641276587,passing_tds,59,11,566
home,0.018175504129133758,0.005495517703885891,passing_tds,59,11,566
season_week,0.006268109783837938,0.002882890015205668,passing_tds,59,11,566
game_total,0.0,0.0,passing_tds,59,11,566
team_spread,0.0,0.0,passing_tds,59,11,566
implied_team_total,0.0,0.0,passing_tds,59,11,566
history_games,-0.000991688839188143,0.005746494694365486,passing_tds,64,13,687
rolling_mean_3,0.01650178811816736,0.0050521000649698935,passing_tds,64,13,687
rolling_mean_5,0.004204813053386625,0.0025893721752280846,passing_tds,64,13,687
rolling_mean_all,0.022062042136010283,0.013274501846479369,passing_tds,64,13,687
rolling_std_5,0.012960436976345902,0.009103625730922335,passing_tds,64,13,687
rolling_std_all,0.015416037614650824,0.010766114812780194,passing_tds,64,13,687
last_value,-0.007764282527059252,0.003378505473105106,passing_tds,64,13,687
recent_form_delta,0.004164421100641702,0.008968360131780354,passing_tds,64,13,687
zero_rate,0.0038722282383275796,0.005091619061326959,passing_tds,64,13,687
usage_mean_3,0.03614423995747471,0.014360791531726065,passing_tds,64,13,687
usage_mean_all,0.03595813326647912,0.01822698606689353,passing_tds,64,13,687
team_market_mean_5,-0.005206028653064942,0.004474168461925696,passing_tds,64,13,687
opponent_allowed_mean_5,0.002275453170866215,0.002940688870807321,passing_tds,64,13,687
team_plays_mean_5,-0.008200223905120808,0.006175642874556951,passing_tds,64,13,687
qb_strength_mean_5,0.015691256274761735,0.007834787969205392,passing_tds,64,13,687
home,0.00688519154374283,0.01678949254700732,passing_tds,64,13,687
