feature,importance,importance_stddev,market,test_rows,test_week,train_rows
rolling_std_all,1.4744026106389612,0.8316496717460548,passing_yards,37,17,428
last_value,4.9103235901667235,3.339447988209678,passing_yards,37,17,428
recent_form_delta,-0.6082859466942466,1.2985649132158383,passing_yards,37,17,428
zero_rate,-0.7216335820197429,0.44068568678216424,passing_yards,37,17,428
usage_mean_3,5.395283882656488,3.343976347667572,passing_yards,37,17,428
usage_mean_all,1.2814533443516865,0.7055610256755356,passing_yards,37,17,428
team_market_mean_5,-0.6058457509953428,0.7642887713275553,passing_yards,37,17,428
opponent_allowed_mean_5,-3.0392946368837044,1.5423783512806424,passing_yards,37,17,428
team_plays_mean_5,-2.00853509239939,0.8126678788424342,passing_yards,37,17,428
qb_strength_mean_5,0.006043511432238802,0.08607811625400931,passing_yards,37,17,428
home,0.7244932334759596,0.4311450020923531,passing_yards,37,17,428
season_week,0.0,0.0,passing_yards,37,17,428
game_total,0.0,0.0,passing_yards,37,17,428
team_spread,0.0,0.0,passing_yards,37,17,428
implied_team_total,0.0,0.0,passing_yards,37,17,428
history_games,0.16765421101207778,0.28459224618411916,passing_yards,32,18,465
rolling_mean_3,-0.08317238624501613,0.35591314766891063,passing_yards,32,18,465
rolling_mean_5,0.3011707258011228,1.2489798538497119,passing_yards,32,18,465
rolling_mean_all,1.5012380426224354,1.4020132221056558,passing_yards,32,18,465
rolling_std_5,0.005446668624909989,0.4042114522029732,passing_yards,32,18,465
rolling_std_all,-0.2476615469787248,0.908418324826305,passing_yards,32,18,465
last_value,-1.9523497100897031,1.9199446541320793,passing_yards,32,18,465
recent_form_delta,0.18621306943054208,0.9280436812800136,passing_yards,32,18,465
zero_rate,0.119057115652447,0.1902270826964714,passing_yards,32,18,465
usage_mean_3,0.15006830971887553,2.0506116989586363,passing_yards,32,18,465
usage_mean_all,-0.9368336097313857,0.6926965734067773,passing_yards,32,18,465
team_market_mean_5,0.650535695496879,0.8770684506090132,passing_yards,32,18,465
opponent_allowed_mean_5,1.46939283774756,1.1143160436320083,passing_yards,32,18,465
team_plays_mean_5,0.9468069411977268,0.7158236075868343,passing_yards,32,18,465
qb_strength_mean_5,-0.02379500026379162,0.1465268087261191,passing_yards,32,18,465
home,0.8473249142585217,1.7901451210959505,passing_yards,32,18,465
season_week,0.0,0.0,passing_yards,32,18,465
game_total,0.0,0.0,passing_yards,32,18,465
team_spread,0.0,0.0,passing_yards,32,18,465
implied_team_total,0.0,0.0,passing_yards,32,18,465
history_games,0.0062034264144973815,0.022935387409812154,passing_tds,25,9,179
rolling_mean_3,0.022217093593605065,0.006950398579072355,passing_tds,25,9,179
rolling_mean_5,0.005902716119641105,0.004957603783466375,passing_tds,25,9,179
rolling_mean_all,-0.002633067912467446,0.005253892194182254,passing_tds,25,9,179
rolling_std_5,-0.002418379269601956,0.011617474667294734,passing_tds,25,9,179
rolling_std_all,0.02151748964998732,0.011052213353524553,passing_tds,25,9,179
last_value,-0.03420866252141308,0.011482805671007111,passing_tds,25,9,179
recent_form_delta,-0.006554040295171903,0.014673212492939207,passing_tds,25,9,179
zero_rate,0.006971050512548515,0.009874654420812054,passing_tds,25,9,179
usage_mean_3,0.032406193226611736,0.017102378016565205,passing_tds,25,9,179
usage_mean_all,0.015694779900949096,0.009747189187649982,passing_tds,25,9,179
team_market_mean_5,0.008671989865968132,0.004523542327431515,passing_tds,25,9,179
opponent_allowed_mean_5,-0.013619750494715666,0.020485600015918808,passing_tds,25,9,179
team_plays_mean_5,0.015318923080448622,0.015660852388899818,passing_tds,25,9,179
qb_strength_mean_5,0.05803458178699925,0.04557433900710574,passing_tds,25,9,179
home,-0.004267712796857448,0.028153603673347852,passing_tds,25,9,179
season_week,0.0,0.0,passing_tds,25,9,179
game_total,0.0,0.0,passing_tds,25,9,179
team_spread,0.0,0.0,passing_tds,25,9,179
implied_team_total,0.0,0.0,passing_tds,25,9,179
history_games,0.005152504947066205,0.00725369230434251,passing_tds,28,11,236
rolling_mean_3,0.013210202463994514,0.008172558740544546,passing_tds,28,11,236
rolling_mean_5,0.0037345223290087713,0.003908129526998079,passing_tds,28,11,236
rolling_mean_all,-8.855069755560052e-05,0.020277875063006906,passing_tds,28,11,236
rolling_std_5,0.006376732849703104,0.009177873875821824,passing_tds,28,11,236
rolling_std_all,0.027740864043575342,0.013183890949617257,passing_tds,28,11,236
last_value,-0.0022115395954585893,0.011847047914496688,passing_tds,28,11,236
recent_form_delta,0.026748975982868163,0.016524514798134077,passing_tds,28,11,236
zero_rate,0.014803026923490514,0.01392884516780888,passing_tds,28,11,236
usage_mean_3,-0.008868244529945146,0.006856387663415554,passing_tds,28,11,236
usage_mean_all,-0.0006613644002086749,0.011187242939735024,passing_tds,28,11,236
team_market_mean_5,0.0046522990146431464,0.01772530696271378,passing_tds,28,11,236
opponent_allowed_mean_5,0.018383634175349474,0.010622371826515058,passing_tds,28,11,236
team_plays_mean_5,0.013956027643957758,0.018638686317306634,passing_tds,28,11,236
qb_strength_mean_5,-0.018692638964081375,0.029718254415179675,passing_tds,28,11,236
home,0.003065601322665379,0.033382412857749746,passing_tds,28,11,236
season_week,0.0,0.0,passing_tds,28,11,236
game_total,0.0,0.0,passing_tds,28,11,236
team_spread,0.0,0.0,passing_tds,28,11,236
implied_team_total,0.0,0.0,passing_tds,28,11,236
history_games,0.004810220828811817,0.007356117976663672,passing_tds,30,13,297
rolling_mean_3,0.012773379194069512,0.0054027624105371045,passing_tds,30,13,297
rolling_mean_5,0.01582762652442804,0.0026337224480442764,passing_tds,30,13,297
rolling_mean_all,0.007874419193754978,0.009568802827887095,passing_tds,30,13,297
rolling_std_5,0.008820538652309917,0.009007541578495253,passing_tds,30,13,297
rolling_std_all,-0.00759260041465859,0.009488620594468686,passing_tds,30,13,297
last_value,-0.00947296635792203,0.003982530280886043,passing_tds,30,13,297
recent_form_delta,-0.0024915152075425605,0.01192004558053069,passing_tds,30,13,297
zero_rate,0.08176424146822851,0.01929144210225283,passing_tds,30,13,297
usage_mean_3,0.01578886125323533,0.004002179687970788,passing_tds,30,13,297
usage_mean_all,0.00598134103648551,0.021745375912182712,passing_tds,30,13,297
team_market_mean_5,0.0012677271219843967,0.006921802886050789,passing_tds,30,13,297
opponent_allowed_mean_5,-0.012632264173517704,0.005848712722425323,passing_tds,30,13,297
team_plays_mean_5,-0.014399742037731245,0.008562506813436331,passing_tds,30,13,297
qb_strength_mean_5,0.014380474132460176,0.01649788723748151,passing_tds,30,13,297
home,-0.02934043543286229,0.019839532959038553,passing_tds,30,13,297
season_week,0.0,0.0,passing_tds,30,13,297
game_total,0.0,0.0,passing_tds,30,13,297
team_spread,0.0,0.0,passing_tds,30,13,297
implied_team_total,0.0,0.0,passing_tds,30,13,297
history_games,0.004669827651815228,0.0025051252390425865,passing_tds,35,15,357
rolling_mean_3,0.002547098125755953,0.0012557844482544867,passing_tds,35,15,357
rolling_mean_5,0.01790667201187728,0.0025632365560935774,passing_tds,35,15,357
rolling_mean_all,0.007573293927638702,0.0067304306965007546,passing_tds,35,15,357
rolling_std_5,0.012115424589542956,0.005131781258928048,passing_tds,35,15,357
rolling_std_all,0.0006942046297343963,0.007404831172213717,passing_tds,35,15,357
last_value,-0.003991652278387603,0.003407008465016829,passing_tds,35,15,357
recent_form_delta,-0.004167813194068648,0.005840133314861564,passing_tds,35,15,357
zero_rate,0.040697415572816364,0.01193828490188873,passing_tds,35,15,357
usage_mean_3,0.05098412844109927,0.011277973533157641,passing_tds,35,15,357
usage_mean_all,0.023610476743653908,0.0068505980127377564,passing_tds,35,15,357
team_market_mean_5,0.002371800714233019,0.00859361242878471,passing_tds,35,15,357
opponent_allowed_mean_5,0.013311369005214258,0.006875127429266151,passing_tds,35,15,357
team_plays_mean_5,0.02622744403574162,0.008863817892278903,passing_tds,35,15,357
