archetype,count,eligible_for_ranking,market,market_brier,market_ece,market_log_loss,model_brier,model_ece,model_log_loss,model_minus_market_brier,model_minus_market_log_loss,roi,segment_type,team,units_profit,weeks
,6,False,passing_yards,0.24878522442698203,0.3321154826602035,0.6907176080187752,0.6134460466666667,0.7831333333333333,1.5300264043612968,0.36466082223968466,0.8393087963425215,-0.05877031458986056,team_by_market,DET,-0.35262188753916335,[1]
,20,True,receiving_yards,0.2378457929687713,0.18508881749464806,0.6687367873772755,0.5943996930005,0.6147294999999999,7.1916850634730825,0.3565539000317287,6.522948276095807,-0.07852679094492399,team_by_market,WAS,-1.5705358188984797,[1]
,30,True,receiving_yards,0.24464124257362496,0.12069046018547859,0.6824266991960365,0.5991892633334001,0.6281266,3.0112051070175796,0.3545480207597751,2.328778407821543,-0.0643626412671187,team_by_market,DAL,-1.9308792380135609,[1]
,6,False,rushing_yards,0.2710394720660559,0.18970367636582863,0.7353180322608743,0.6175981899999999,0.7854333333333333,1.5466035315631144,0.34655871793394405,0.81128549930224,-0.017460317460317454,team_by_market,CIN,-0.10476190476190472,[1]
,4,False,rushing_attempts,0.24397289734490513,0.033648267700335244,0.6809872101621751,0.57826773,0.7578,1.4533668944189753,0.33429483265509485,0.7723796842568001,-0.034999999999999976,team_by_market,BUF,-0.1399999999999999,[1]
,22,True,receiving_yards,0.25346346496126115,0.18765944216890473,0.7000767165638587,0.5868520900003636,0.6107541818181819,2.5654080740634537,0.3333886250391025,1.865331357499595,-0.05063804629938766,team_by_market,DEN,-1.1140370185865285,[1]
,18,False,rushing_yards,0.24729823428245437,0.09693869782681738,0.6877256955378553,0.5693972055555556,0.6530777777777776,1.8634971569811205,0.3220989712731013,1.175771461443265,-0.05672335478312286,team_by_market,KC,-1.0210203860962115,[1]
,4,False,rushing_attempts,0.2538892054823938,0.2736200156526296,0.7008959758190565,0.5744149199999999,0.7565999999999999,1.429969969393257,0.32052571451760614,0.7290739935742006,-0.03254696373962429,team_by_market,TEN,-0.13018785495849716,[1]
,14,False,passing_yards,0.2562690820590632,0.22040565517532645,0.7056972054525604,0.5716041985714285,0.7554428571428572,1.4162756212243803,0.31533511651236534,0.7105784157718199,-0.048630544993735585,team_by_market,HOU,-0.6808276299122982,[1]
,26,True,receiving_yards,0.24466710473135872,0.05211867748993911,0.6824238469029915,0.55925366,0.5886461538461538,2.2603867831334297,0.31458655526864127,1.5779629362304382,-0.06547353714868992,team_by_market,ATL,-1.7023119658659378,[1]
,6,False,rushing_yards,0.2443637646405795,0.1595263714365601,0.6818704362128877,0.55286327,0.7428333333333333,1.3661234434277116,0.3084995053594205,0.684253007214824,-0.062103334227228024,team_by_market,CAR,-0.37262000536336815,[1]
,20,True,receiving_yards,0.25056252349128494,0.006976767285839236,0.6942742652662566,0.5460625689999999,0.6173299999999999,2.6984022703999857,0.295500045508715,2.004128005133729,-0.052489594372877146,team_by_market,LAR,-1.049791887457543,[1]
,10,False,receptions,0.23349674876003731,0.14694016073962296,0.6596863353928298,0.510040304,0.70204,1.323709796008038,0.27654355523996266,0.6640234606152081,-0.05008828553825473,team_by_market,DAL,-0.5008828553825473,[1]
,28,True,receiving_yards,0.24743040365727004,0.02613317330570608,0.6879937525559312,0.5172605464287143,0.5897641428571428,4.746103496887405,0.2698301427714443,4.058109744331474,-0.056388835200386005,team_by_market,SF,-1.578887385610808,[1]
,6,False,rushing_attempts,0.24189432200117944,0.1171837332667222,0.6769814923257128,0.49622802,0.6920000000000001,1.2815165879847437,0.25433369799882055,0.6045350956590309,-0.06068376068376069,team_by_market,ARI,-0.36410256410256414,[1]
,16,False,receptions,0.23971335592023868,0.15350408622780676,0.6730289789887773,0.4728515325,0.5218,1.7134958622760883,0.23313817657976132,1.040466883287311,-0.022485853284927887,team_by_market,KC,-0.3597736525588462,[1]
,16,False,receiving_yards,0.2468436779321963,0.04378775385957483,0.6868351704517244,0.474297375,0.577525,1.2341935394086778,0.22745369706780372,0.5473583689569534,-0.06166033041033041,team_by_market,NYJ,-0.9865652865652865,[1]
,2,False,rushing_attempts,0.31580596835849933,0.5615369277765119,0.8257354798824658,0.52983841,0.7279,1.3015856331929365,0.21403244164150065,0.47585015331047076,0.125,team_by_market,CAR,0.25,[1]
,24,True,receiving_yards,0.25183842714875454,0.13426228030551593,0.6968166099594243,0.44390203166666664,0.34535,1.5871147130497534,0.1920636045179121,0.8902981030903291,-0.050332788568648514,team_by_market,LAC,-1.2079869256475644,[1]
,14,False,receptions,0.23173465112073588,0.2336040333698901,0.656480101208759,0.42030752714285713,0.5685,1.392788608497392,0.18857287602212125,0.736308507288633,-0.06027562289141151,team_by_market,SF,-0.8438587204797611,[1]
,8,False,receptions,0.2484843429761971,0.3745000669938672,0.6887009822217539,0.43653629499999996,0.6214,1.1544472873051115,0.18805195202380287,0.46574630508335757,0.0012499999999999734,team_by_market,LAC,0.009999999999999787,[1]
,38,True,receiving_yards,0.25115702538487694,0.056646872269272855,0.6954614355315326,0.43909201789473684,0.41332631578947365,1.4383461761896736,0.1879349925098599,0.742884740658141,-0.054204604818098544,team_by_market,GB,-2.0597749830877445,[1]
,22,True,receiving_yards,0.24495372326075893,0.12836812132821054,0.6830423628667919,0.4315345472729091,0.42752709090909086,1.6798533394952946,0.18658082401215015,0.9968109766285027,-0.0605823054913792,team_by_market,SEA,-1.3328107208103424,[1]
,34,True,receiving_yards,0.24673774643537594,0.07664050721797906,0.6866195886201063,0.4281983152943529,0.4776468235294118,3.066788459672643,0.181460568858977,2.3801688710525366,-0.05449695398920292,team_by_market,NO,-1.8528964356328994,[1]
,28,True,receiving_yards,0.2544557005296912,0.08049715355585685,0.7020684264987604,0.43176588285714285,0.44002857142857144,1.5758947493381308,0.17731018232745166,0.8738263228393703,-0.045569989682107646,team_by_market,CAR,-1.2759597110990142,[1]
,36,True,receiving_yards,0.25044703952926956,0.07856507848364844,0.6940439200725445,0.41891555722238893,0.3994387222222222,1.7731659071262658,0.16846851769311938,1.0791219870537212,-0.05254322237279582,team_by_market,IND,-1.8915560054206497,[1]
,10,False,receptions,0.2734579030204465,0.15505065779814892,0.7408805817330931,0.4396452,0.6513199999999999,1.1380065475160148,0.16618729697955353,0.3971259657829217,0.03526340326340327,team_by_market,CHI,0.3526340326340327,[1]
,6,False,receptions,0.18683117170797814,0.4318507781755434,0.565900778542235,0.3507822,0.3846,0.9097102921927157,0.16395102829202185,0.34380951365048074,-0.15500565119109722,team_by_market,WAS,-0.9300339071465833,[1]
,14,False,receptions,0.278774987762474,0.29618312600464264,0.7515422004603617,0.44131645,0.5289857142857143,1.1486155794807575,0.16254146223752602,0.39707337902039586,0.052331029185867885,team_by_market,IND,0.7326344086021503,[1]
,8,False,rushing_yards,0.24396175423445712,0.1104758589901247,0.6810552300981878,0.40300286500000004,0.6334,1.0102217512277036,0.15904111076554292,0.32916652112951583,-0.06489112739112739,team_by_market,DEN,-0.5191290191290191,[1]
,8,False,passing_yards,0.25357974323238197,0.12905002538606597,0.7003077192056736,0.405489315,0.6365000000000001,1.0133294498804717,0.15190957176761805,0.3130217306747981,-0.055335968379446654,team_by_market,SF,-0.44268774703557323,[1]
,10,False,passing_yards,0.2526492966117828,0.20262699159440772,0.698446349982707,0.38733521,0.62198,0.9744641232594663,0.13468591338821717,0.27601777327675925,-0.05584366053473605,team_by_market,GB,-0.5584366053473605,[1]
,2,False,passing_tds,0.24891030854843915,0.020261872085201083,0.6909635429455016,0.38278969,0.6187,0.964168812118619,0.13387938145156086,0.2732052691731175,-0.019230769230769218,team_by_market,SF,-0.038461538461538436,[1]
,2,False,rushing_attempts,0.2229546795342381,0.471555645527029,0.6388751895130156,0.35236096,0.5936,0.900417382717865,0.1294062804657619,0.2615421932048494,-0.06521739130434784,team_by_market,WAS,-0.13043478260869568,[1]
,8,False,receptions,0.2596245605483711,0.23671852952725383,0.7130574772183922,0.377952885,0.37935,0.9653625955968688,0.11832832445162894,0.2523051183784766,0.005686392914653782,team_by_market,BUF,0.045491143317230254,[1]
,42,True,receiving_yards,0.24892803973023553,0.05812080763269175,0.6910006403046708,0.36401030666666667,0.3576761904761905,1.4257720643007012,0.11508226693643114,0.7347714239960305,-0.05570067838590691,team_by_market,PHI,-2.33942849220809,[1]
,10,False,receptions,0.2509238493062937,0.13717506073493876,0.6950622230034471,0.36479302799999996,0.35032,0.9630427764781324,0.11386917869370627,0.2679805534746853,-0.0224812399099386,team_by_market,NE,-0.224812399099386,[1]
,6,False,rushing_yards,0.23147223454250485,0.1438180881758706,0.6559871900854094,0.34479096666666664,0.5844,0.8872438021793972,0.1133187321241618,0.23125661209398785,-0.08734348933985958,team_by_market,TB,-0.5240609360391575,[1]
,12,False,receptions,0.24431513591161555,0.23337835790869202,0.6812771459590904,0.355640185,0.42324999999999996,0.9628578583150161,0.11132504908838445,0.28158071235592574,-0.021059157104911533,team_by_market,PHI,-0.2527098852589384,[1]
,12,False,receptions,0.24373859929741934,0.12311854621291951,0.679733534312421,0.3518157433333333,0.48366666666666663,0.9175316381649837,0.10807714403591398,0.23779810385256273,-0.03755087760132251,team_by_market,LAR,-0.45061053121587014,[1]
,8,False,rushing_yards,0.2567288611157621,0.14385796456965405,0.7066479115638107,0.3564348975,0.5956250000000001,0.9105288191605678,0.09970603638423792,0.20388090759675714,-0.039372895622895615,team_by_market,CHI,-0.3149831649831649,[1]
,8,False,receptions,0.25734239280669385,0.15930736457463743,0.70766896100588,0.350830285,0.5855,0.9094443350321286,0.09348789219330617,0.20177537402624868,-0.009296772068511205,team_by_market,JAX,-0.07437417654808964,[1]
,2,False,passing_tds,0.2374668266577138,0.015969560158435425,0.6680499397197662,0.32798529,0.5727,0.8502689363321577,0.09051846334228619,0.1822189966123915,-0.06140350877192985,team_by_market,DET,-0.1228070175438597,[1]
,26,True,receiving_yards,0.24305337555758783,0.01133387794804572,0.6791175549205158,0.33256744692307694,0.41663846153846157,0.9248195220522663,0.08951407136548911,0.2457019671317504,-0.06874869802402059,team_by_market,NE,-1.7874661486245351,[1]
