count,extreme_mean,extreme_minus_non_extreme,feature,feature_class,non_extreme_mean,pearson,rank,scope,spearman,target
25,-2.0627068769442314,-1.9476811281594673,standardized_mean_line_gap,distribution_geometry,-0.11502574878476417,-0.938600716760882,1,passing_tds,-0.7661538461538462,probability_extremeness
25,-1.1795,-1.1115833333333334,mean_minus_line,distribution_geometry,-0.0679166666666667,-0.902653593005447,2,passing_tds,-0.7646153846153846,probability_extremeness
25,0.7277,0.4899833333333333,zero_mass,distribution_geometry,0.23771666666666666,0.7751582262067961,3,passing_tds,0.5505964239802508,probability_extremeness
25,0.5718214319173425,-0.5529443553567828,simulated_stddev,distribution_geometry,1.1247657872741252,-0.7206611012360655,4,passing_tds,-0.5474129741577203,probability_extremeness
25,0.3205,-1.1115833333333331,simulated_mean,distribution_geometry,1.4320833333333332,-0.7208099117504634,5,passing_tds,-0.5281785056349613,probability_extremeness
25,5.0,-9.583333333333334,player_history_games,history_depth,14.583333333333334,-0.7306617760835024,6,passing_tds,-0.46518910340192626,probability_extremeness
25,6.0,-2.916666666666666,unique_values,distribution_geometry,8.916666666666666,-0.6272130336947769,7,passing_tds,-0.43547448538487155,probability_extremeness
25,0.0,-1.2083333333333333,simulated_median,distribution_geometry,1.2083333333333333,-0.5310770814898086,8,passing_tds,-0.34535138457287584,probability_extremeness
25,1.5,0.0,line,distribution_geometry,1.5,0.2340669064829538,9,passing_tds,0.3333974297349129,probability_extremeness
25,5.0,-3.083333333333334,support_width,distribution_geometry,8.083333333333334,-0.5404573579677788,10,passing_tds,-0.3147451004791631,probability_extremeness
25,548.0,-1.9166666666666288,league_team_history_rows,history_depth,549.9166666666666,-0.1575607687936018,11,passing_tds,-0.02819123613369578,probability_extremeness
25,0.4330340264425161,-0.030352994209095152,relative_dispersion,distribution_geometry,0.46338702065161125,-0.007773072446017623,12,passing_tds,0.019619157893214147,probability_extremeness
25,34.0,0.0,team_history_rows,history_depth,34.0,,13,passing_tds,,probability_extremeness
115,9.973684210526315,-6.2860560492139435,player_history_games,history_depth,16.25974025974026,-0.5096157604074856,1,passing_yards,-0.43794932674875703,probability_extremeness
115,19.58847027046545,-13.060209835667642,simulated_stddev,distribution_geometry,32.64868010613309,-0.4789955136063429,2,passing_yards,-0.4329310314662067,probability_extremeness
115,149.56278295805987,-103.85217924515598,simulated_mean,distribution_geometry,253.41496220321585,-0.4970301227488265,3,passing_yards,-0.4190532576661616,probability_extremeness
115,148.33836893817679,-103.29568515126786,simulated_median,distribution_geometry,251.63405408944465,-0.49799779350585033,4,passing_yards,-0.4190532576661616,probability_extremeness
115,154.42678133619424,-103.92780585545401,support_width,distribution_geometry,258.35458719164825,-0.4728743476918568,5,passing_yards,-0.39599236268871524,probability_extremeness
